fecha,codigoIsoPais,nombrePais,codigoIsoCcaa,codigoIneCcaa,nombreCcaa,lat,long,codigoIsoProvincia,nombreProvincia,casosConfirmados,casosHospitalizados,casosUCI,casosFallecidos,casosAlta,casosAislamiento,casosConfirmadosDiario,casosHospitalizadosDiario,casosUCIDiario,casosFallecidosDiario
2020-04-07,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,2599,1280,192,237,416,,79,22,9,20
2020-04-06,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,417,184,26,37,57,,21,8,0,4
2020-04-06,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,380,185,27,29,93,,9,5,0,0
2020-04-06,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,2520,1258,183,217,408,,111,41,5,11
2020-04-05,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,396,176,26,33,53,,3,1,4,3
2020-04-05,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,371,180,27,29,91,,28,10,5,2
2020-04-05,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,2409,1217,178,206,387,,67,57,32,14
2020-04-04,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,393,175,22,30,44,,25,0,1,6
2020-04-04,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,343,170,22,27,65,,24,3,1,2
2020-04-04,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,2342,1160,146,192,331,,130,71,8,19
2020-04-04,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,368,175,21,24,43,,19,29,1,6
2020-04-03,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,319,167,21,25,38,,36,1,0,0
2020-04-03,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,2212,1089,138,173,297,,144,81,1,18
2020-04-03,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,349,146,20,18,35,,32,10,6,2
2020-04-02,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,283,166,21,25,26,,11,18,-1,4
2020-04-02,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,2068,1008,137,155,259,,166,58,5,25
2020-04-01,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,317,136,14,16,28,,73,7,1,2
2020-04-01,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,272,148,22,21,21,,9,7,0,6
2020-04-01,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,1902,950,132,130,208,,110,44,2,23
2020-03-31,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,244,129,13,14,23,,29,9,0,3
2020-03-31,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,263,141,22,15,16,,41,10,2,3
2020-03-31,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,1792,906,130,107,165,,151,63,7,26
2020-03-30,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,215,120,13,11,19,,14,-10,0,0
2020-03-30,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,222,131,20,12,14,,14,19,1,0
2020-03-30,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,1641,843,123,81,141,,192,123,2,2
2020-03-29,ES,España,ES-AR,2,Aragón,42.131845,-0.4078058,ES-HU,Huesca,201,130,13,11,14,,27,38,2,2
2020-03-29,ES,España,ES-AR,2,Aragón,40.3456879,-1.1064345,ES-TE,Teruel,208,112,19,12,10,,29,11,4,2
2020-03-29,ES,España,ES-AR,2,Aragón,41.6488226,-0.8890853,ES-Z,Zaragoza,1449,720,121,79,101,,210,78,23,7
