fecha,nombre_pais,codigo_pais,nombre_ccaa,codigo_ccaa,lat,long,casos_confirmados,casos_UCI,casos_fallecidos,casos_recuperados,caso_confirmado_diario
2020-03-19,España,ES,Andalucía,1,37.46327438,-4.575625136,,,,,
2020-03-19,España,ES,Aragón,2,41.51953555,-0.659846412,,,,,
2020-03-19,España,ES,Asturias,3,43.29235786,-5.993509325,,,,,
2020-03-19,España,ES,Baleares,4,39.57518899,2.912291721,,,,,
2020-03-19,España,ES,Canarias,5,28.33979859,-15.67209842,,,,,
2020-03-19,España,ES,Cantabria,6,43.19751954,-4.030012132,,,,,
2020-03-19,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,,,,,
2020-03-19,España,ES,Castilla y León,7,41.75439621,-4.78188694,,,,,
2020-03-19,España,ES,Cataluña,9,41.79855378,1.529053485,,,,,
2020-03-19,España,ES,Ceuta,18,35.89340699,-5.343424039,,,,,
2020-03-19,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,,,,,
2020-03-19,España,ES,Extremadura,11,39.19149925,-6.15082693,,,,,
2020-03-19,España,ES,Galicia,12,42.75679663,-7.910563441,,,,,
2020-03-19,España,ES,Madrid,13,40.49508296,-3.717040066,,,,,
2020-03-19,España,ES,Melilla,19,35.29082799,-2.950535523,,,,,
2020-03-19,España,ES,Murcia,14,38.00236791,-1.485758575,,,,,
2020-03-19,España,ES,Navarra,15,42.66720115,-1.646111769,,,,,
2020-03-19,España,ES,País Vasco,16,43.04336306,-2.616817921,,,,,
2020-03-19,España,ES,La Rioja,17,42.27487336,-2.51703984,,,,,
2020-03-18,España,ES,Andalucía,1,37.46327438,-4.575625136,859,21,19,,176
2020-03-18,España,ES,Aragón,2,41.51953555,-0.659846412,226,9,13,,19
2020-03-18,España,ES,Asturias,3,43.29235786,-5.993509325,242,5,1,,49
2020-03-18,España,ES,Baleares,4,39.57518899,2.912291721,112,4,1,,20
2020-03-18,España,ES,Canarias,5,28.33979859,-15.67209842,181,17,3,,33
2020-03-18,España,ES,Cantabria,6,43.19751954,-4.030012132,68,3,1,,10
2020-03-18,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,675,29,28,,108
2020-03-18,España,ES,Castilla y León,7,41.75439621,-4.78188694,668,43,22,,237
2020-03-18,España,ES,Cataluña,9,41.79855378,1.529053485,1866,33,41,,472
2020-03-18,España,ES,Ceuta,18,35.89340699,-5.343424039,1,0,0,,0
2020-03-18,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,726,40,22,,185
2020-03-18,España,ES,Extremadura,11,39.19149925,-6.15082693,194,3,6,,41
2020-03-18,España,ES,Galicia,12,42.75679663,-7.910563441,341,12,3,,49
2020-03-18,España,ES,Madrid,13,40.49508296,-3.717040066,5637,491,390,,766
2020-03-18,España,ES,Melilla,19,35.29082799,-2.950535523,20,0,0,,3
2020-03-18,España,ES,Murcia,14,38.00236791,-1.485758575,122,4,0,,25
2020-03-18,España,ES,Navarra,15,42.66720115,-1.646111769,386,10,3,,73
2020-03-18,España,ES,País Vasco,16,43.04336306,-2.616817921,973,37,40,,208
2020-03-18,España,ES,La Rioja,17,42.27487336,-2.51703984,419,13,5,,64
2020-03-17,España,ES,Andalucía,1,37.46327438,-4.575625136,683,13,11,,129
2020-03-17,España,ES,Aragón,2,41.51953555,-0.659846412,207,9,12,,33
2020-03-17,España,ES,Asturias,3,43.29235786,-5.993509325,193,5,1,,16
2020-03-17,España,ES,Baleares,4,39.57518899,2.912291721,92,4,1,,19
2020-03-17,España,ES,Canarias,5,28.33979859,-15.67209842,148,13,2,,29
2020-03-17,España,ES,Cantabria,6,43.19751954,-4.030012132,58,2,0,,0
2020-03-17,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,567,23,17,,0
2020-03-17,España,ES,Castilla y León,7,41.75439621,-4.78188694,431,24,12,,97
2020-03-17,España,ES,Cataluña,9,41.79855378,1.529053485,1394,33,18,,491
2020-03-17,España,ES,Ceuta,18,35.89340699,-5.343424039,1,0,0,,0
2020-03-17,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,541,27,13,,132
2020-03-17,España,ES,Extremadura,11,39.19149925,-6.15082693,153,2,3,,42
2020-03-17,España,ES,Galicia,12,42.75679663,-7.910563441,292,9,3,,47
2020-03-17,España,ES,Madrid,13,40.49508296,-3.717040066,4871,340,355,,706
2020-03-17,España,ES,Melilla,19,35.29082799,-2.950535523,17,0,0,,9
2020-03-17,España,ES,Murcia,14,38.00236791,-1.485758575,97,3,0,,20
2020-03-17,España,ES,Navarra,15,42.66720115,-1.646111769,313,10,2,,39
2020-03-17,España,ES,País Vasco,16,43.04336306,-2.616817921,765,33,36,,135
2020-03-17,España,ES,La Rioja,17,42.27487336,-2.51703984,355,13,5,,43
2020-03-17,España,ES,Andalucía,1,37.46327438,-4.575625136,554,7,7,,117
2020-03-16,España,ES,Aragón,2,41.51953555,-0.659846412,174,1,11,,27
2020-03-16,España,ES,Asturias,3,43.29235786,-5.993509325,177,3,1,,40
2020-03-16,España,ES,Baleares,4,39.57518899,2.912291721,73,4,1,,45
2020-03-16,España,ES,Canarias,5,28.33979859,-15.67209842,119,9,1,,10
2020-03-16,España,ES,Cantabria,6,43.19751954,-4.030012132,58,2,0,,7
2020-03-16,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,567,23,17,,166
2020-03-16,España,ES,Castilla y León,7,41.75439621,-4.78188694,334,24,9,,42
2020-03-16,España,ES,Cataluña,9,41.79855378,1.529053485,903,33,12,,188
2020-03-16,España,ES,Ceuta,18,35.89340699,-5.343424039,1,0,0,,0
2020-03-16,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,409,4,5,,0
2020-03-16,España,ES,Extremadura,11,39.19149925,-6.15082693,111,1,2,,16
2020-03-16,España,ES,Galicia,12,42.75679663,-7.910563441,245,9,2,,50
2020-03-16,España,ES,Madrid,13,40.49508296,-3.717040066,4165,253,213,,621
2020-03-16,España,ES,Melilla,19,35.29082799,-2.950535523,8,0,0,,0
2020-03-16,España,ES,Murcia,14,38.00236791,-1.485758575,77,2,0,,6
2020-03-16,España,ES,Navarra,15,42.66720115,-1.646111769,274,5,1,,91
2020-03-16,España,ES,País Vasco,16,43.04336306,-2.616817921,630,29,23,,0
2020-03-16,España,ES,La Rioja,17,42.27487336,-2.51703984,312,13,4,,12
2020-03-15,España,ES,Andalucía,1,37.46327438,-4.575625136,437,,6,,168
2020-03-15,España,ES,Aragón,2,41.51953555,-0.659846412,147,,7,,67
2020-03-15,España,ES,Asturias,3,43.29235786,-5.993509325,137,,1,,45
2020-03-15,España,ES,Baleares,4,39.57518899,2.912291721,28,,1,,0
2020-03-15,España,ES,Canarias,5,28.33979859,-15.67209842,109,,1,,19
2020-03-15,España,ES,Cantabria,6,43.19751954,-4.030012132,51,,0,,20
2020-03-15,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,401,,10,,112
2020-03-15,España,ES,Castilla y León,7,41.75439621,-4.78188694,292,,6,,69
2020-03-15,España,ES,Cataluña,9,41.79855378,1.529053485,715,,8,,206
2020-03-15,España,ES,Ceuta,18,35.89340699,-5.343424039,1,,0,,1
2020-03-15,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,409,,5,,279
2020-03-15,España,ES,Extremadura,11,39.19149925,-6.15082693,95,,2,,29
2020-03-15,España,ES,Galicia,12,42.75679663,-7.910563441,195,,2,,80
2020-03-15,España,ES,Madrid,13,40.49508296,-3.717040066,3544,,213,,604
2020-03-15,España,ES,Melilla,19,35.29082799,-2.950535523,8,,0,,5
2020-03-15,España,ES,Murcia,14,38.00236791,-1.485758575,71,,0,,24
2020-03-15,España,ES,Navarra,15,42.66720115,-1.646111769,183,,0,,37
2020-03-15,España,ES,País Vasco,16,43.04336306,-2.616817921,630,,23,,213
2020-03-15,España,ES,La Rioja,17,42.27487336,-2.51703984,300,,3,,22
2020-03-14,España,ES,Andalucía,1,37.46327438,-4.575625136,269,,2,,50
2020-03-14,España,ES,Aragón,2,41.51953555,-0.659846412,80,,7,,0
2020-03-14,España,ES,Asturias,3,43.29235786,-5.993509325,92,,1,,25
2020-03-14,España,ES,Baleares,4,39.57518899,2.912291721,28,,1,,-2
2020-03-14,España,ES,Canarias,5,28.33979859,-15.67209842,90,,0,,20
2020-03-14,España,ES,Cantabria,6,43.19751954,-4.030012132,31,,6,,2
2020-03-14,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,289,,3,,95
2020-03-14,España,ES,Castilla y León,7,41.75439621,-4.78188694,223,,6,,54
2020-03-14,España,ES,Cataluña,9,41.79855378,1.529053485,509,,0,,193
2020-03-14,España,ES,Ceuta,18,35.89340699,-5.343424039,0,,4,,0
2020-03-14,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,130,,2,,36
2020-03-14,España,ES,Extremadura,11,39.19149925,-6.15082693,66,,0,,27
2020-03-14,España,ES,Galicia,12,42.75679663,-7.910563441,115,,86,,30
2020-03-14,España,ES,Madrid,13,40.49508296,-3.717040066,2940,,0,,950
2020-03-14,España,ES,Melilla,19,35.29082799,-2.950535523,3,,0,,1
2020-03-14,España,ES,Murcia,14,38.00236791,-1.485758575,47,,0,,12
2020-03-14,España,ES,Navarra,15,42.66720115,-1.646111769,146,,0,,16
2020-03-14,España,ES,País Vasco,16,43.04336306,-2.616817921,417,,14,,0
2020-03-14,España,ES,La Rioja,17,42.27487336,-2.51703984,278,,3,,35
2020-03-13,España,ES,Andalucía,1,37.46327438,-4.575625136,219,8,0,,104
2020-03-13,España,ES,Aragón,2,41.51953555,-0.659846412,80,3,7,,16
2020-03-13,España,ES,Asturias,3,43.29235786,-5.993509325,67,2,1,,20
2020-03-13,España,ES,Baleares,4,39.57518899,2.912291721,30,2,1,,8
2020-03-13,España,ES,Canarias,5,28.33979859,-15.67209842,70,2,0,,19
2020-03-13,España,ES,Cantabria,6,43.19751954,-4.030012132,29,0,0,,13
2020-03-13,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,194,10,5,,79
2020-03-13,España,ES,Castilla y León,7,41.75439621,-4.78188694,169,8,1,,77
2020-03-13,España,ES,Cataluña,9,41.79855378,1.529053485,316,25,4,,56
2020-03-13,España,ES,Ceuta,18,35.89340699,-5.343424039,0,0,0,,0
2020-03-13,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,94,2,1,,18
