fecha,codigo_iso_pais,nombre_pais,codigo_iso_ccaa,codigo_ine_ccaa,nombre_ccaa,lat,long,codigoIsoProvincia,nombreProvincia,casosConfirmados,casosHospitalizados,casosUCI,casosFallecidos,casosAlta,casosCurados,casosConfirmadosDiario,casosUciDiario,casosFallecidosDiario
2020-04-01,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,1464,815,65,77,93,,115,4,7
2020-04-01,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,1215,536,57,55,20,,96,4,19
2020-03-31,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,251,108,15,16,26,6,28,15,2
2020-03-31,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,539,216,19,14,18,16,32,19,1
2020-03-31,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,661,288,17,15,29,4,89,17,2
2020-03-31,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,1061,556,50,67,89,15,98,50,1
2020-03-31,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,177,96,7,4,9,2,9,7,0
2020-03-31,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,661,358,13,26,40,17,62,13,3
2020-03-31,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,1349,745,61,70,186,83,28,61,1
2020-03-31,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,1119,500,53,36,89,17,67,53,2
2020-03-30,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,223,96,,14,15,6,23,,2
2020-03-30,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,507,207,,13,18,10,60,,4
2020-03-30,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,572,269,,13,23,4,99,,2
2020-03-30,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,963,493,,66,86,15,103,,9
2020-03-30,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,168,90,,4,9,2,37,,0
2020-03-30,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,599,319,,23,37,17,98,,3
2020-03-30,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,1321,725,,69,185,83,163,,5
2020-03-30,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,1052,470,,34,82,18,140,,4
2020-03-29,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,200,86,,12,12,6,27,,2
2020-03-29,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,447,170,,9,13,9,41,,2
2020-03-29,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,473,221,,11,20,4,49,,2
2020-03-29,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,860,427,,57,64,13,54,,8
2020-03-29,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,131,72,,4,9,2,11,,2
2020-03-29,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,501,279,,20,35,16,36,,4
2020-03-29,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,1158,642,,64,176,81,105,,8
2020-03-29,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,912,397,,30,78,17,82,,4
2020-03-28,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,173,72,,10,12,6,31,,2
2020-03-28,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,406,156,,7,9,8,58,,1
2020-03-28,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,424,200,,9,16,4,65,,1
2020-03-28,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,806,396,,49,56,11,95,,15
2020-03-28,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,120,66,,2,5,2,15,,0
2020-03-28,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,465,258,,16,28,15,51,,1
2020-03-28,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,1053,575,,56,150,80,47,,10
2020-03-28,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,830,383,,26,57,13,122,,1
2020-03-27,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,142,65,,8,9,6,8,,1
2020-03-27,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,348,117,,6,9,6,49,,1
2020-03-27,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,359,168,,8,14,1,10,,1
2020-03-27,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,711,336,,34,40,1,63,,2
2020-03-27,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,105,60,,2,4,2,10,,0
2020-03-27,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,414,228,,15,21,7,65,,0
2020-03-27,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,1006,540,,46,104,61,101,,4
2020-03-27,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,708,329,,25,50,8,81,,1
2020-03-26,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,134,62,,7,8,5,19,,2
2020-03-26,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,299,92,,5,9,4,21,,1
2020-03-26,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,349,161,,7,14,0,58,,1
2020-03-26,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,648,287,,32,34,1,69,,7
2020-03-26,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,95,52,,2,4,2,18,,1
2020-03-26,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,349,189,,15,19,5,33,,1
2020-03-26,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,905,490,,42,95,52,86,,2
2020-03-26,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,627,293,,24,45,8,92,,6
2020-03-25,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,115,50,,5,6,5,24,,0
2020-03-25,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,278,84,,4,7,4,33,,1
2020-03-25,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,291,135,,6,11,0,57,,0
2020-03-25,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,579,263,,25,29,1,99,,4
2020-03-25,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,77,42,,1,3,2,7,,0
2020-03-25,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,316,167,,14,18,5,57,,2
2020-03-25,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,819,431,,40,89,48,154,,14
2020-03-25,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,535,261,,18,31,6,108,,5
2020-03-24,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,91,39,,5,6,3,17,,3
2020-03-24,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,245,73,,3,7,4,67,,0
2020-03-24,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,234,100,,6,9,0,43,,2
2020-03-24,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,480,215,,21,22,1,106,,4
2020-03-24,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,70,38,,1,2,2,12,,0
